Organization,Region,Image URL,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
kitconcept,Corporate,,2261,325,1061,1260,519,1434,2033,2582,2024,1438
py76,Individual,,1662,2487,570,1267,858,1607,1084,2365,1580,1332
Independent,Community,,2530,850,1683,1307,834,449,335,598,309,93
freitag,Corporate,,795,1197,316,676,347,18,19,194,2065,319
kleinundpartner,Corporate,,506,978,591,790,449,235,528,658,373,225
syslab,Corporate,,560,682,353,502,223,213,587,569,152,82
salesforce,Corporate,,1014,357,855,598,443,11,119,73,,
starzel,Corporate,,695,218,381,1064,293,155,116,366,51,67
stevepiercy,Individual,,,16,20,6,31,23,196,1073,710,826
kombinat,Corporate,,18,3,1,162,174,46,178,829,595,641
nuclia,Corporate,,423,390,192,219,131,268,128,72,58,43
derico,Corporate,,48,30,224,269,249,173,243,448,154,82
university-jyvaskylä,Academic,,667,409,258,33,15,19,7,13,3,
eau-de-web,Corporate,,61,45,20,49,39,256,257,289,174,116
rohberg,Corporate,,,,9,23,50,153,207,523,192,62
agitator,Individual,,64,96,109,67,123,115,278,220,2,
redturtle,Corporate,,6,,13,99,80,117,173,127,84,91
Reid-McMahon,Corporate,,213,202,123,145,77,16,,,,
codesyntax,Corporate,,25,11,28,83,63,45,38,150,203,100
sixfeetup,Corporate,,28,90,78,116,123,50,55,32,,45
university-tu-munich,Academic,,10,21,241,96,11,,12,4,1,
Ecréall,Corporate,,197,47,8,18,24,77,1,,,
fhnw,Academic,,178,88,57,31,,,,,,3
imio,Corporate,,178,36,42,25,10,6,15,31,4,10
4teamwork,Corporate,,31,135,89,43,40,5,2,,,
university-hospital-dresden,Academic,,,,,,3,3,36,69,37,150
soliton-consulting,Corporate,,157,12,36,6,15,43,8,,,
iskra,Corporate,,,,,7,29,115,35,21,9,48
tschorr,Individual,,5,49,50,57,65,20,1,3,9,2
frapell,Corporate,,54,7,19,58,22,7,13,58,12,2
ccc,Corporate,,60,50,25,6,19,3,3,13,13,1
pretaweb,Corporate,,16,36,3,6,12,,23,42,13,18
serpro,Corporate,,,,,,,9,19,33,16,87
it-spirit,Corporate,,8,,115,19,4,5,1,4,,
affinitic,Corporate,,5,11,1,1,9,5,6,90,6,2
academy-of-fine-arts-vienna,Academic,,,3,5,16,39,14,6,12,23,9
jarn,Corporate,,37,23,49,8,,3,1,,,
makina-corpus,Corporate,,,,87,16,8,,,,,
dbain,Individual,,19,52,7,7,3,,2,,,
dataflake,Corporate,,,,,,33,3,38,,,
